date,year,quarter,month,month_name,year_month,week_number,day,day_of_week,day_of_week_num,is_weekend,is_month_end,country,region,complex,brand,budget,actual_revenue,variance_budget,variance_budget_pct,sdlm_revenue,sdlm_revenue_var,sdlm_revenue_var_pct,sdly_revenue,sdly_revenue_var,sdly_revenue_var_pct,customer_count,sdlm_customer_count,sdly_customer_count,avg_spend,sdlm_avg_spend,sdly_avg_spend,is_synthetic
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,LA PIAZZA,CREAMY INN,507.0394371,2483.64,1976.600563,389.8317208,396.36,2087.28,526.6121708,505.22,1978.42,391.5957405,353,103,121,7.035807365,3.84815534,4.175371901,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,LA PIAZZA,GALITOS,731.2124385,2331.45,1600.237561,218.8471472,647.7,1683.75,259.958314,776.24,1555.21,200.3516954,262,103,108,8.898664122,6.288349515,7.187407407,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,LA PIAZZA,PIZZA INN,2460.270795,6969.35,4509.079205,183.2757278,1674.88,5294.47,316.1104079,2343.61,4625.74,197.3766966,555,172,296,12.55738739,9.737674419,7.917601351,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,CARREFOUR,CHICKEN INN,1773.566466,1524.24,-249.3264658,-14.05791497,1524.24,0,0,1331.64,192.6,14.46336848,205,199,207,7.435317073,7.659497487,6.433043478,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,CARREFOUR,CREAMY INN,872.9355505,1176.97,304.0344495,34.82896868,677.27,499.7,73.78150516,770.18,406.79,52.81752318,268,194,197,4.391679104,3.491082474,3.909543147,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,CARREFOUR,GALITOS,1055.942805,818,-237.9428053,-22.53368308,860.24,-42.24,-4.910257603,923.15,-105.15,-11.39034826,92,94,110,8.891304348,9.151489362,8.392272727,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,CARREFOUR,PIZZA INN,4872.74441,4049.03,-823.71441,-16.90452732,2613.36,1435.67,54.93579147,3985.88,63.15,1.58434273,333,227,371,12.15924925,11.51259912,10.74361186,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,CITY MARKET,CHICKEN INN,1412.784194,1084.55,-328.2341937,-23.23314454,967.88,116.67,12.05418027,1499.94,-415.39,-27.69377442,358,293,555,3.029469274,3.30334471,2.702594595,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,CITY MARKET,PIZZA INN,999.0683717,751.64,-247.4283717,-24.76590979,375.76,375.88,100.0319353,852.97,-101.33,-11.87966751,103,62,141,7.297475728,6.060645161,6.049432624,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,INN-KIN,CHICKEN INN,2669.05427,2810.05,140.9957301,5.282610089,1917.58,892.47,46.54147415,2496.72,313.33,12.54966516,339,231,277,8.289233038,8.301212121,9.013429603,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,INN-KIN,CREAMY INN,734.4346601,897.58,163.1453399,22.21373102,428.24,469.34,109.597422,651.03,246.55,37.87075864,198,96,155,4.533232323,4.460833333,4.200193548,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,INN-KIN,GALITOS,1243.848629,1553.63,309.7813705,24.90506989,1293.94,259.69,20.06970957,1079.54,474.09,43.91592715,146,152,139,10.64130137,8.512763158,7.76647482,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,INN-KIN,PIZZA INN,4129.202528,7417.64,3288.437472,79.63856095,3429.45,3988.19,116.2924084,3889.17,3528.47,90.72552755,487,265,315,15.23129363,12.94132075,12.34657143,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,LA PIAZZA,CHICKEN INN,1437.634908,1493.33,55.69509151,3.874077569,1084.85,408.48,37.65313177,1196.24,297.09,24.83531733,232,197,261,6.436767241,5.506852792,4.583295019,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,LA PIAZZA,CREAMY INN,521.4917312,661.81,140.3182688,26.90709371,490,171.81,35.06326531,485.09,176.72,36.43035313,157,118,120,4.215350318,4.152542373,4.042416667,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,LA PIAZZA,GALITOS,712.4529404,689.39,-23.06294042,-3.237117725,712.73,-23.34,-3.274732367,686.55,2.84,0.413662515,110,113,102,6.267181818,6.307345133,6.730882353,0
2/1/2020,2020,1,1,January,2020-01,1,2,Thursday,3,0,0,DRC,KINSHASA,LA PIAZZA,PIZZA INN,2462.842235,2198.41,-264.4322351,-10.73687268,1517.39,681.02,44.88101279,2439.55,-241.14,-9.884609867,222,165,286,9.902747748,9.19630303,8.529895105,0
3/1/2020,2020,1,1,January,2020-01,1,3,Friday,4,0,0,DRC,KINSHASA,CARREFOUR,CHICKEN INN,2104.375562,1466.67,-637.7055622,-30.30379052,1887.88,-421.21,-22.31126978,1579.03,-112.36,-7.115760942,219,256,213,6.697123288,7.37453125,7.413286385,0
3/1/2020,2020,1,1,January,2020-01,1,3,Friday,4,0,0,DRC,KINSHASA,CARREFOUR,CREAMY INN,1353.757592,689.39,-664.3675918,-49.07581651,566.97,122.42,21.59197136,1053.46,-364.07,-34.55945171,203,169,234,3.396009852,3.354852071,4.501965812,0
3/1/2020,2020,1,1,January,2020-01,1,3,Friday,4,0,0,DRC,KINSHASA,CARREFOUR,GALITOS,1576.936733,1373.09,-203.8467334,-12.92675407,1834.12,-461.03,-25.13630515,1777.45,-404.36,-22.74944443,153,205,182,8.974444444,8.946926829,9.766208791,0
